Country Name,Country Code,year,value
Costa Rica,CRI,2016,7.06338977813721
Sudáfrica,ZAF,2016,5.943029880523679
Argentina,ARG,2015,5.87526988983154
R.U.,GBR,2015,5.6314802169799805
Jamaica,JAM,2016,5.31865978240967
Corea S.,KOR,2015,5.0654401779174805
Ecuador,ECU,2015,4.99870014190674
Chile,CHL,2015,4.90347003936768
COLOMBIA,COL,2016,4.48296022415161
Perú,PER,2016,3.80698990821838
Ruanda,RWA,2016,3.54689002037048
El Salvador,SLV,2016,3.45323991775513
Irán,IRN,2016,3.3657600879669203
Afganistán,AFG,2015,3.2420198917388903
Guatemala,GTM,2016,2.82871007919312
Pakistán,PAK,2016,2.49180006980896
Congo,COD,2015,2.29096007347107
Mónaco,MCO,2016,1.37101995944977
