co,name,reg_name,code,pop,lat,lon
co,20 de julio,20 de Julio,33,,4.5666667,-74.1
co,20 de junio,20 de Junio,21,,8.0405556,-72.6225
co,4 esquinas,4 Esquinas,20,,1.1,-77.4666667
co,abarca,Abarca,18,,10.766666699999998,-74.16666670000001
co,abejero,Abejero,24,,5.1575,-75.9094444
co,abejorral,Abejorral,2,7360.0,5.7933333,-75.4308333
co,abisinia,Abisinia,1,,-1.3833333,-72.2
co,abra,Abra,17,,11.3094444,-72.89583329999999
co,abrahan asprilla,Abrahán Asprilla,11,,5.0,-77.16666670000001
co,abras,Abras,17,,11.3094444,-72.89583329999999
co,a bravo,A Bravo,2,,8.611666699999999,-76.4436111
co,abre el ojo,Abre El Ojo,17,,10.928333300000002,-72.6675
co,abrego,Abrego,9,,2.3666667,-76.7166667
co,abrego,Ábrego,21,10823.0,8.0830556,-73.2238889
co,abrego numero dos,Abrego Número Dos,29,,4.2252778,-75.9525
co,abriaqui,Abriaquí,2,1281.0,6.633611099999999,-76.0647222
co,abriojo,Abriojo,2,,6.9166667,-75.83138890000001
co,abuyama,Abuyama,3,,6.875277799999999,-70.5797222
co,acacias,Acacías,19,40628.0,3.9875,-73.7566667
co,acala,Acalá,29,,4.6747222,-75.7825
co,acandi,Acandí,11,4840.0,8.5333333,-77.2333333
co,acanti,Acanti,11,,8.5333333,-77.2333333
co,acapulco,Acapulco,3,,6.4761111,-71.7088889
co,acapulco,Acapulco,8,,1.6061111000000001,-75.64
co,acapulco,Acapulco,19,,4.4072222000000005,-72.25111109999999
co,acapulco,Acapulco,32,,4.9305556,-72.3825
co,acaricuara,Acaricuará,30,430.0,0.7,-70.2333333
co,acayali,Acayali,8,,1.4833333,-73.3
co,aceite,Aceite,17,,12.1,-71.5
co,aceituno,Aceituno,28,,3.9175,-75.18
co,acequia,Acequía,29,,3.6375,-76.4011111
co,acevedo,Acevedo,9,,1.7505556,-76.8916667
co,acevedo,Acevedo,16,4451.0,1.8191667,-75.8963889
co,acevedo y gomez,Acevedo y Gómez,28,,3.68,-75.0647222
co,achi,Achí,5,8434.0,8.570833300000002,-74.5577778
co,achiote,Achiote,33,,5.5047222,-74.355
co,achotal,Achotal,4,,10.7,-74.85
co,achotal,Achotal,20,,1.4833333,-78.7166667
co,aco,Aco,28,,3.7472222,-74.81388890000001
co,acon,Acón,20,,1.5333333,-78.9
co,aco nuevo,Aco Nuevo,28,,3.7430556000000004,-74.8116667
co,acordeon,Acordeón,18,,9.5333333,-74.41666670000001
co,acoso,Acosó,11,,5.1,-76.55
co,acosta,Acosta,12,,8.5613889,-75.5452778
co,acuata,Acuatá,33,,4.4833333,-74.65
co,acuna,Acuña,26,,6.6666667,-74.2666667
co,adaluz,Adaluz,17,,11.250277800000001,-72.21638890000001
co,adan,Adán,10,,10.183333300000001,-73.9
co,adelaide,Adelaide,28,,3.9211111000000005,-75.1441667
co,admirable,Admirable,27,,9.433333300000001,-75.0
co,adolfo rios,Adolfo Ríos,33,,4.7244444,-73.9
co,adoretes,Adoretes,9,,1.8552778000000003,-77.1830556
co,adriana,Adriana,10,,9.3019444,-73.9136111
co,adriano potes,Adriano Potes,11,,5.0,-77.0666667
co,adriene morano,Adriene Morano,29,,4.2775,-76.3038889
co,aduriameina,Aduriameina,18,,10.65,-73.6333333
co,adurimeina,Adurimeina,18,,10.65,-73.6333333
co,aflohera,Aflohera,12,,8.766666699999998,-76.1166667
co,aganche,Aganche,9,,2.8833333,-76.66666670000001
co,agarrate,Agárrate,12,,8.7155556,-75.54
co,agrado,Agrado,16,4531.0,2.2583333,-75.7725
co,agriasdulces,Agriasdulces,18,,10.166666699999999,-74.05
co,agrumito,Agrumito,3,,6.4666667,-70.5333333
co,agua azul,Agua Azul,32,,5.1730556,-72.5547222
co,aguablanca,Aguablanca,6,,4.9766667,-73.2566667
co,agua blanca,Agua Blanca,6,,5.5166667,-72.4833333
co,agua blanca,Agua Blanca,9,,2.6769444,-75.93722220000001
co,agua blanca,Agua Blanca,10,,10.2166667,-73.4833333
co,aguablanca,Aguablanca,19,,3.55,-74.39277779999999
co,aguablanca,Aguablanca,21,,8.0355556,-72.9505556
co,agua blanca,Agua Blanca,21,,8.4113889,-73.06277779999999
co,agua blanca,Agua Blanca,22,,-0.0333333,-75.2
co,agua blanca,Agua Blanca,26,,6.3333333,-73.66666670000001
co,aguablanca,Aguablanca,26,,6.3872222,-73.38
co,agua blanca,Agua Blanca,26,,6.686388900000001,-73.7930556
co,aguablanca,Aguablanca,26,,7.366666700000001,-73.1552778
co,aguablanca,Aguablanca,27,,8.7166667,-74.7333333
co,aguablanca,Aguablanca,29,,3.45,-76.5166667
co,aguabonita,Aguabonita,2,,5.695833299999999,-75.6280556
co,agua bonita,Agua Bonita,7,,5.2,-75.1166667
co,aguabonita,Aguabonita,14,,2.5797222,-72.5880556
co,agua bonita,Agua Bonita,14,,2.5797222,-72.5880556
co,agua bonita,Agua Bonita,16,,2.1394444,-75.9136111
co,agua bonita,Agua Bonita,26,,6.6233333,-73.83138890000001
co,agua bonita,Agua Bonita,28,,3.7894443999999994,-75.5808333
co,aguabuena,Aguabuena,26,,6.3944444,-73.2586111
co,aguacaliente,Aguacaliente,6,,4.8313889,-73.2075
co,aguacaliente,Aguacaliente,16,,2.1355556,-75.67
co,agua caliente,Agua Caliente,21,,8.416666699999999,-72.5
co,aguacaliente,Aguacaliente,26,,7.4983333,-73.2166667
co,agua caliente,Agua Caliente,28,,3.2933333,-75.0302778
co,aguacaliente,Aguacaliente,28,,4.4755556,-75.4016667
